# US Geological Survey
#
# The Site File stores location and general information about ground water,
# surface water, and meteorological sites for sites in USA.
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2011-06-20 17:15:34 EDT	(sdas01)
#
# The following selected fields are included in this output:
# agency_cd       -- Agency
# site_no         -- Site identification number
# station_nm      -- Site name
# site_tp_cd      -- Site type
# dec_lat_va      -- Decimal latitude
# dec_long_va     -- Decimal longitude
# coord_acy_cd    -- Latitude-longitude accuracy
# dec_coord_datum_cd -- Decimal Latitude-longitude datum
# alt_va          -- Altitude of Gage/land surface
# alt_acy_va      -- Altitude accuracy
# alt_datum_cd    -- Altitude datum
# data_type       -- Data type
# parm_cd         -- Parmeter code
# stat_cd         -- Statistical code
# loc_nm          -- Additional measurement description
# medium_grp_cd   -- Medium group code
# parm_grp_cd     -- Parameter group code
# srs_id          -- SRS ID
# access_cd       -- Access code
# begin_date      -- Begin date
# end_date        -- End date
# count_nu        -- Record count
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	data_type_cd	parm_cd	stat_cd	loc_nm	medium_grp_cd	parm_grp_cd	srs_id	access_cd	begin_date	end_date	count_nu
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	2s	5s	5s	30s	3s	3s	5n	4n	20d	20d	5n
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw				wat	ALL	0	0	1998-05-14		11
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw	00010			sed	PHY	1645597	0	1998-05-14		2
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw	00010			wat	PHY	1645597	0	1999-07-28		1
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw	00020			sed	PHY	1645712	0	1998-05-14		2
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw	00020			wat	PHY	1645712	0	1999-07-28		1
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw	00025			sed	PHY	1641265	0	1998-05-14		2
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw	00025			wat	PHY	1641265	0	1999-07-28		1
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw	00028			bio	INF	0	0	1999-09-30		7
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw	00028			sed	INF	0	0	1998-05-14		3
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw	00028			wat	INF	0	0	1999-07-28		1
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw	00061			wat	PHY	1645415	0	1999-07-28		1
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw	00076			wat	PHY	1640507	0	1999-07-28		1
USGS	02196842	SOIL EROSION LAKE AT FT GORDON, GA	LK	33.4222222	-82.1202778	S	NAD83				qw	00095			sed	PHY	1646694	0	1998-05-14		2
